location,total_cases,total_deaths,lat,long
Afghanistan,207146,7845,33.93911,67.709953
,,,,
Albania,333686,3594,41.153332,20.168331
Algeria,271182,6881,28.033886,1.659626
Andorra,47686,165,42.546245,1.601554
Angola,104946,1928,-11.202692,17.873887
Anguilla,3904,12,18.220554,-63.068615
Antigua and Barbuda,9106,146,17.060816,-61.796428
Argentina,9829236,130080,-38.416097,-63.616672
Armenia,445881,8712,40.069099,45.038189
Aruba,43693,280,12.52111,-69.968338
,,,,
Australia,10983380,16734,-25.274398,133.775136
Austria,5656559,21332,47.516231,14.550072
Azerbaijan,825527,9997,40.143105,47.576927
Bahamas,37491,833,25.03428,-77.39628
Bahrain,697938,1539,25.930414,50.637772
Bangladesh,2036967,29438,23.684994,90.356331
Barbados,104944,568,13.193887,-59.543198
Belarus,994037,7118,53.709807,27.953389
Belgium,4664481,33211,50.503887,4.469936
Belize,69675,688,17.189877,-88.49765
Benin,27982,163,9.30769,2.315834
Bermuda,18557,152,32.321384,-64.75737
Bhutan,62524,21,27.514162,90.433601
Bolivia,1135046,22271,-16.290154,-63.588653
,,,,
Bosnia and Herzegovina,400821,16219,43.915886,17.679076
Botswana,327511,2794,-22.328474,24.684866
Brazil,36001760,692280,-14.235004,-51.92528
British Virgin Islands,7305,64,18.420695,-64.639968
Brunei,266819,225,4.535277,114.727669
Bulgaria,1290470,38082,42.733883,25.48583
Burkina Faso,22006,395,12.238333,-1.561593
Burundi,51481,38,-3.373056,29.918886
Cambodia,138438,3056,12.565679,104.990963
Cameroon,123993,1965,7.369722,12.354722
Canada,4482256,48859,56.130366,-106.346771
Cape Verde,63178,412,16.002082,-24.013197
Cayman Islands,31359,36,19.513469,-80.566956
Central African Republic,15311,113,6.611111,20.939444
Chad,7649,194,15.454166,18.732207
Chile,4987847,62905,-35.675147,-71.542969
China,1903961,5242,35.86166,104.195397
Colombia,6322281,141881,4.570868,-74.297333
Comoros,8979,161,-11.875001,43.872219
Congo,25375,386,-0.228021,15.827659
Cook Islands,6389,1,-21.236736,-159.777671
Costa Rica,1156497,9059,9.748917,-83.753428
Cote d'Ivoire,87916,830,7.539989,-5.54708
Croatia,1259759,17473,45.1,15.2
Cuba,1111713,8530,21.521757,-77.781167
,,,,
Cyprus,625562,1250,35.126413,33.429859
Czechia,4574354,42026,49.817492,15.472962
Democratic Republic of Congo,94970,1461,-4.038333,21.758664
Denmark,3375600,7672,56.26392,9.501785
Djibouti,15690,189,11.825138,42.590275
Dominica,15760,74,15.414999,-61.370976
Dominican Republic,655540,4384,18.735693,-70.162651
Ecuador,1024914,35940,-1.831239,-78.183406
Egypt,515645,24801,26.820553,30.802498
El Salvador,201785,4230,13.794185,-88.89653
Equatorial Guinea,17186,183,1.650801,10.267895
Eritrea,10189,103,15.179384,39.782334
Estonia,611291,2837,58.595272,25.013607
,,,,
Ethiopia,496378,7572,9.145,40.489673
,,,,
,,,,
Faeroe Islands,34658,28,61.892635,-6.911806
Falkland Islands,1930,,-51.796253,-59.523613
Fiji,68625,878,-16.578193,179.414413
Finland,1428446,7783,61.92411,25.748151
France,39011009,160816,46.227638,2.213749
French Polynesia,77772,649,-17.679742,-149.406843
Gabon,48973,306,-0.803689,11.609444
Gambia,12586,372,13.443182,-15.310139
Georgia,1808085,16895,42.315407,43.356892
Germany,37088426,160246,51.165691,10.451526
Ghana,171038,1461,7.946527,-1.023194
Gibraltar,20252,110,36.137741,-5.345374
Greece,5548487,34779,39.074208,21.824312
Greenland,11971,21,71.706936,-42.604303
Grenada,19644,238,12.262776,-61.604171
Guatemala,1187909,19986,15.783471,-90.230759
Guinea,38191,465,9.945587,-9.696645
Guinea-Bissau,8848,176,11.803749,-15.180413
Guyana,71757,1285,4.860416,-58.93018
Haiti,33876,860,18.971187,-72.285215
,,,,
Honduras,462340,11060,15.199999,-86.241905
Hong Kong,2385285,11251,22.396428,114.109497
Hungary,2176249,48380,47.162494,19.503304
Iceland,207974,229,64.963051,-19.020835
India,44677554,530680,20.593684,78.96288
Indonesia,6711703,160451,-0.789275,113.921327
,,,,
Iran,7560581,144667,32.427908,53.688046
Iraq,2465107,25373,33.223191,43.679291
Ireland,1684717,8270,53.41291,-8.24389
Isle of Man,38008,116,54.236107,-4.548056
Israel,4751638,11981,31.046051,34.851612
Italy,24884034,183138,41.87194,12.56738
Jamaica,152669,3447,18.109581,-77.297508
Japan,27396606,53738,36.204824,138.252924
Jordan,1746997,14122,30.585164,36.238414
Kazakhstan,1488306,19057,48.019573,66.923684
Kenya,342368,5688,-0.023559,37.906193
Kiribati,3430,13,-3.370417,-168.734039
Kosovo,272235,3202,42.602636,20.902977
Kuwait,662747,2570,29.31166,47.481766
Kyrgyzstan,206557,2991,41.20438,74.766098
Laos,217526,758,19.85627,102.495496
Latvia,971344,6133,56.879635,24.603189
Lebanon,1221791,10743,33.854721,35.862285
Lesotho,34490,706,-29.609988,28.233608
Liberia,8043,294,6.428055,-9.429499
Libya,507121,6437,26.3351,17.228331
Liechtenstein,21209,88,47.166,9.555373
Lithuania,1283459,9458,55.169438,23.881275
,,,,
,,,,
Luxembourg,310717,1175,49.815273,6.129583
Macao,1569,13,22.198745,113.543873
Madagascar,67684,1415,-18.766947,46.869107
Malawi,88220,2685,-13.254308,34.301525
Malaysia,5019400,36814,4.210484,101.975766
Maldives,185666,311,3.202778,73.22068
Mali,32767,743,17.570692,-3.996166
Malta,116152,811,35.937496,14.375416
Marshall Islands,15547,17,7.131474,171.184478
Mauritania,63425,997,21.00789,-10.940835
Mauritius,287999,1038,-20.348404,57.552152
Mexico,7196485,330834,23.634501,-102.552784
Micronesia (country),22203,58,7.425554,150.550812
Moldova,596193,11929,47.411631,28.369885
Monaco,15866,65,43.750298,7.412841
Mongolia,1007232,2135,46.862496,103.846656
Montenegro,284407,2790,42.708678,19.37439
,,,,
Morocco,1270945,16294,31.791702,-7.09262
Mozambique,230918,2229,-18.665695,35.529562
Myanmar,633575,19488,21.913965,95.956223
Namibia,170181,4080,-22.95764,18.49041
Nauru,4621,1,-0.522778,166.931503
Nepal,1000959,12019,28.394857,84.124008
Netherlands,8569947,23042,52.132633,5.291266
New Caledonia,79026,314,-20.904305,165.618042
New Zealand,2062675,2288,-40.900557,174.885971
Nicaragua,15308,245,12.865416,-85.207229
Niger,9473,314,17.607789,8.081666
Nigeria,266381,3155,9.081999,8.675277
,,,,
North Korea,1,6,40.339852,127.510093
North Macedonia,345197,9599,41.608635,21.745275
,,,,
Norway,1472878,4571,60.472024,8.468946
,,,,
Oman,399119,4628,21.512583,55.923255
Pakistan,1575486,30635,30.375321,69.345116
Palau,5955,9,7.51498,134.58252
Palestine,703228,5708,31.952162,35.233154
Panama,1020961,8554,8.537981,-80.782127
Papua New Guinea,46557,669,-6.314993,143.95555
Paraguay,781111,19655,-23.442503,-58.443832
Peru,4424906,217941,-9.189967,-75.015152
Philippines,4057629,65127,12.879721,121.774017
Poland,6362604,118436,51.919438,19.145136
Portugal,5553251,25693,39.399872,-8.224454
Qatar,487042,685,25.354826,51.183884
Romania,3305048,67341,45.943161,24.96676
Russia,21420985,385189,61.52401,105.318756
Rwanda,132920,1467,-1.940278,29.873888
Saint Helena,2166,,-24.143474,-10.030696
Saint Kitts and Nevis,6560,46,17.357822,-62.782998
Saint Lucia,29736,409,13.909444,-60.978893
Saint Pierre and Miquelon,3306,2,46.941936,-56.27111
Saint Vincent and the Grenadines,9521,118,12.984305,-61.287228
Samoa,15975,29,-13.759029,-172.104629
San Marino,22813,120,43.94236,12.457777
Sao Tome and Principe,6279,77,0.18636,6.613081
Saudi Arabia,826621,9499,23.885942,45.079162
Senegal,88896,1968,14.497401,-14.452362
Serbia,2436376,17477,44.016521,21.005859
Seychelles,50355,172,-4.679574,55.491977
Sierra Leone,7760,126,8.460555,-11.779889
Singapore,2191597,1710,1.352083,103.819836
Slovakia,2654985,20788,48.669026,19.699024
Slovenia,1291635,6976,46.151241,14.995463
Solomon Islands,24575,153,-9.64571,160.156194
Somalia,27300,1361,5.152149,46.199616
South Africa,4046986,102568,-30.559482,22.937506
,,,,
South Korea,28390646,31549,35.907757,127.766922
,,,,
Spain,13651239,116658,40.463667,-3.74922
Sri Lanka,671821,16814,7.873054,80.771797
Sudan,63677,4992,12.862807,30.217636
Suriname,81581,1393,3.919305,-56.027783
Sweden,2651702,21364,60.128161,18.643501
Switzerland,4386815,14160,46.818188,8.227512
Syria,57423,3163,34.802075,38.996815
Taiwan,8605539,14950,23.69781,120.960515
Tajikistan,17786,125,38.861034,71.276093
Tanzania,42111,845,-6.369028,34.888822
Thailand,4718908,33505,15.870032,100.992541
Timor,23385,138,-8.874217,125.727539
Togo,39339,290,8.619543,0.824782
Tonga,16182,12,-21.178986,-175.198242
Trinidad and Tobago,185882,4277,10.691803,-61.222503
Tunisia,1147477,29279,33.886917,9.537499
Turkey,16919638,101203,38.963745,35.243322
Turks and Caicos Islands,6463,36,21.694025,-71.797928
Tuvalu,2805,,-7.109535,177.64933
Uganda,169810,3630,1.373333,32.290275
Ukraine,5657804,118614,48.379433,31.16558
United Arab Emirates,1046293,2348,23.424076,53.847818
United Kingdom,24089042,213148,55.378051,-3.435973
United States,100014301,1088316,37.09024,-95.712891
,,,,
Uruguay,1002988,7552,-32.522779,-55.765835
Uzbekistan,248948,1637,41.377491,64.585262
Vanuatu,11982,14,-15.376706,166.959158
Vatican,29,,41.902916,12.453389
Venezuela,549273,5830,6.42375,-66.58973
Vietnam,11523367,43180,14.058324,108.277199
Wallis and Futuna,3415,7,-13.768752,-177.156097
,,,,
Yemen,11945,2159,15.552727,48.516388
Zambia,333746,4019,-13.133897,27.849332
Zimbabwe,259981,5637,-19.015438,29.154857